Date,Area,Location,CommonName,SpeciesName,Fate,Reason for euthanasia,Marine Park,Latitude,Longitude
19/11/2016,Cairns,Palm Cove,HARDNOSE WHALER,Carcharhinus malcloti,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
19/11/2016,Townsville,Horseshoe Bay,TIGER SHARK,Galeocerdo cuvier,Euthanised,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
22/11/2016,Townsville,Alma Bay,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
22/11/2016,Townsville,Radical Bay,MILK SHARK,Rhizoprionodon acutus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
22/11/2016,Townsville,Radical Bay,PIGEYE WHALER,Carcharhinus amboinensis,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
22/11/2016,Townsville,Picnic Bay,TAWNY SHARK,Nebrius ferrugineus,Released alive,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
23/11/2016,Cairns,Ellis Beach,HARDNOSE WHALER,Carcharhinus malcloti,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
24/11/2016,Capricorn Coast,Lammermoor Beach,HARDNOSE WHALER,Carcharhinus malcloti,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
24/11/2016,Townsville,Nelly Bay,SHARPTOOTH SHARK,Negaprion acutidents,,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
24/11/2016,Townsville,Florence Bay,TIGER SHARK,Galeocerdo cuvier,Euthanised,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
25/11/2016,Capricorn Coast,Emu Park,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
25/11/2016,Capricorn Coast,Lammermoor Beach,HARDNOSE WHALER,Carcharhinus malcloti,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
26/11/2016,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
